SK_Date,Date,Day,DayName,DayOfWeek,Month,MonthName,Year,IsWeekend
20170404,2017-04-04,4,Tuesday,3,4,April,2017,false
20170405,2017-04-05,5,Wednesday,4,4,April,2017,false
20170406,2017-04-06,6,Thursday,5,4,April,2017,false
20170407,2017-04-07,7,Friday,6,4,April,2017,false
20170408,2017-04-08,8,Saturday,7,4,April,2017,true
20170409,2017-04-09,9,Sunday,1,4,April,2017,true
20170410,2017-04-10,10,Monday,2,4,April,2017,false
20170411,2017-04-11,11,Tuesday,3,4,April,2017,false
20170412,2017-04-12,12,Wednesday,4,4,April,2017,false
20170413,2017-04-13,13,Thursday,5,4,April,2017,false
20170414,2017-04-14,14,Friday,6,4,April,2017,false
20170415,2017-04-15,15,Saturday,7,4,April,2017,true
20170416,2017-04-16,16,Sunday,1,4,April,2017,true
20170417,2017-04-17,17,Monday,2,4,April,2017,false
20170418,2017-04-18,18,Tuesday,3,4,April,2017,false
20170419,2017-04-19,19,Wednesday,4,4,April,2017,false
